id,closing_date,label,amount,bank_amount,bank_status,bank_matched_at
53830284-7d8c-4d12-816e-9cb4c00639b1,2026-09-01,Bonifico,0,,in_attesa,
6beda9db-cc71-4c9c-adf1-5a199cd0a35a,2026-09-01,Bonifico,0,,in_attesa,
f716e72b-2b22-4781-be6e-42500b47b41c,2026-09-01,Bonifico,0,,in_attesa,
5f8d6800-1816-49f3-b762-5d6cddc8d599,2026-09-01,Bonifico,0,,in_attesa,
d8158260-7d2c-4664-be91-2d800c36236e,2026-09-01,Bonifico,0,,in_attesa,
a2e1ed1a-36ab-477b-9f44-86b41085ad56,2026-09-01,Bonifico,0,,in_attesa,
f48a524d-800b-4037-a9db-b529483a078d,2026-09-01,Bonifico,0,,in_attesa,
74069cb8-cf77-4489-9329-973efbe4c2c8,2026-09-01,Contanti,95.1,,in_attesa,
62cccef8-9f31-45eb-9695-1e1292f43997,2026-09-01,Contanti,445.4,,in_attesa,
2318e869-b3a3-43df-b0f3-9ec5a2fa3606,2026-09-01,Contanti,98.3,,in_attesa,
e1bed812-c069-4e9c-bc6f-eed9c13580ec,2026-09-01,Contanti,202.65,,in_attesa,
06e33a64-b679-4f58-9053-5b034625654d,2026-09-01,Contanti,494.5,,in_attesa,
256b89a9-84c7-41ee-9fd8-92c85770692f,2026-09-01,Contanti,88.55,,in_attesa,
d24073e6-1afe-4667-bc7a-c910dd282951,2026-09-01,Contanti,309.35,,in_attesa,
d959d64c-e033-491a-8734-c9a29a3718f7,2026-09-01,Fatture,0,,in_attesa,
f9231b3a-1c29-4fbc-9754-221d2f711f7a,2026-09-01,Fatture,0,,in_attesa,
ce629259-8143-4b5a-82a0-ca1f5a1a643d,2026-09-01,Fatture,0,,in_attesa,
3de26c7e-865b-48a4-bccf-58dc2701f96e,2026-09-01,Fatture,0,,in_attesa,
f09d705d-2d71-4264-b7ec-8c80518563e7,2026-09-01,Fatture,0,,in_attesa,
01d5b4c0-b16a-490d-9de2-20011522bc0d,2026-09-01,Fatture,0,,in_attesa,
8158454a-f269-4c02-9ddb-5d6dc17ae38a,2026-09-01,Fatture,0,,in_attesa,
ec3cce80-0416-4d84-a0ce-aa90d0c155ea,2026-09-01,Pay by link,0,,in_attesa,
7aefa676-ea32-4af4-8fc7-cf48523b1c34,2026-09-01,Pay by link,0,,in_attesa,
9e94e419-f59c-4fdd-8c87-819f20cc42bb,2026-09-01,Pay by link,0,,in_attesa,
2061aff7-1a12-4e0c-aa68-0e4a02419601,2026-09-01,Pay by link,0,,in_attesa,
f8f0eaf1-d596-49a7-9d7c-7ff0a5589188,2026-09-01,Pay by link,0,,in_attesa,
d63d9515-2d75-41a2-bfb3-167e3539ab78,2026-09-01,Pay by link,0,,in_attesa,
65ccf2fb-aba7-444c-aa7c-332b793f9c62,2026-09-01,Pay by link,0,,in_attesa,
a127f664-4fe8-4187-8ac5-8b3831d0ed5e,2026-09-01,POS BCC,0,,in_attesa,
81fa8af4-92b0-4938-ad54-e8599d34f0c1,2026-09-01,POS BCC,0,,in_attesa,
50381619-d60a-4c52-afb8-83b312aad5ce,2026-09-01,POS BCC,0,,in_attesa,
eee982c0-82be-4e18-8673-bd6fd069b755,2026-09-01,POS BCC,0,,in_attesa,
9575020c-5a1a-4324-9da4-7b8a942acab3,2026-09-01,POS BCC,0,,in_attesa,
44dbef8c-60fb-48f8-928c-a991c69b1240,2026-09-01,POS BCC,0,,in_attesa,
ee881180-d284-48b3-9a95-6fefa8ae54bb,2026-09-01,POS BCC,0,,in_attesa,
83762c49-d16d-47a2-909c-da944265a035,2026-09-01,POS BCC Amex,0,,in_attesa,
20ad94c9-d871-4f8b-a14c-74d54f1192df,2026-09-01,POS BCC Amex,0,,in_attesa,
2989f0f1-f62e-4f42-b270-4995ae352c6a,2026-09-01,POS BCC Amex,0,,in_attesa,
97077de3-49af-4db4-9843-47c606207942,2026-09-01,POS BCC Amex,58,58,accreditato,2026-09-07T14:12:45.984948+00:00
6130977d-2521-422c-b148-90b3b33c9f33,2026-09-01,POS BCC Amex,0,,in_attesa,
faa6c915-a4ff-49b9-8d08-2fab123c8b42,2026-09-01,POS BCC Amex,0,,in_attesa,
f35db17f-21cb-400c-a816-4aff5201d7a4,2026-09-01,POS BCC Amex,0,,in_attesa,
3aa7464d-bcd1-46b6-a724-be8f81aa07f5,2026-09-01,POS MPS,430.8,426.66,accreditato,2026-09-07T14:12:45.984948+00:00
f582b78a-3efe-4f1b-95ae-921241f14fd6,2026-09-01,POS MPS,1312.03,1302.96,accreditato,2026-09-07T14:12:45.984948+00:00
52c097e0-b41c-46f8-9e2e-891f808e4ee0,2026-09-01,POS MPS,824.05,992.51,differenza,2026-09-07T14:12:45.984948+00:00
87d0ccd0-a56f-4905-8735-d419006c3ae9,2026-09-01,POS MPS,344.4,340.99,accreditato,2026-09-07T14:12:45.984948+00:00
c4658cdc-bc75-4a58-8737-f3fdb88cb621,2026-09-01,POS MPS,1058.75,1051.26,accreditato,2026-09-07T14:12:45.984948+00:00
bd713e17-e1e7-4879-b03a-206395b7b933,2026-09-01,POS MPS,924.53,924.53,accreditato,2026-09-07T14:12:45.984948+00:00
d2f23f7f-502e-408b-93fb-2033ff9d442a,2026-09-01,POS MPS,590.25,585.67,accreditato,2026-09-07T14:12:45.984948+00:00
b5dae9d8-ede4-4ce4-a061-e045aa5fb36e,2026-09-01,POS MPS Amex,0,,in_attesa,
c77bfc88-11e7-4258-9825-6dea00a744a6,2026-09-01,POS MPS Amex,0,,in_attesa,
7834348d-ebf5-4463-96f7-220d37f28c33,2026-09-01,POS MPS Amex,177.55,992.51,accreditato,2026-09-07T14:12:45.984948+00:00
d181d125-1b78-4831-9b2f-4f215a20aeab,2026-09-01,POS MPS Amex,0,,in_attesa,
d7d505fe-5c2a-4955-acf9-792162a325c6,2026-09-01,POS MPS Amex,0,,in_attesa,
5ab3ac73-feee-4c3b-a705-98a955772c47,2026-09-01,POS MPS Amex,0,,in_attesa,
fc5f813c-cf0f-403a-8fca-8e25ca63eab3,2026-09-01,POS MPS Amex,0,,in_attesa,
61b53c92-c755-4cd2-996e-3594685fb597,2026-09-02,Bonifico,0,,in_attesa,
06d35107-5369-439c-82b1-63f766085d59,2026-09-02,Bonifico,0,,in_attesa,
0169a61b-2e6a-478f-a5de-507a381a1b71,2026-09-02,Bonifico,0,,in_attesa,
d9613aa1-56c8-4f26-9eeb-b00a8bfbb572,2026-09-02,Bonifico,0,,in_attesa,
edc8eb34-d104-4bb8-9ade-777b352d8152,2026-09-02,Bonifico,0,,in_attesa,
870c37b4-344c-436d-abcf-8572425bcb4f,2026-09-02,Bonifico,0,,in_attesa,
83aa5cd8-34e3-47eb-a69d-a29247d5483a,2026-09-02,Bonifico,0,,in_attesa,
992a6c32-2dc0-4c5d-a1e8-d7d28652d102,2026-09-02,Contanti,26.9,,in_attesa,
a3b041c4-4f75-42c2-b5a0-03d9d61b58d0,2026-09-02,Contanti,59.9,,in_attesa,
2665fa25-5fbb-4047-9f1c-d3826ba86140,2026-09-02,Contanti,209.75,,in_attesa,
e3f93071-0f9c-4711-bde6-708e2503c52c,2026-09-02,Contanti,180.7,,in_attesa,
3725a8e6-d814-449a-ad75-743d9c8d0661,2026-09-02,Contanti,215.8,,in_attesa,
93b14fd2-c1a2-4835-b226-181c97c36a24,2026-09-02,Contanti,197.3,,in_attesa,
05dca5bc-2b37-4889-9647-83e059f945c5,2026-09-02,Contanti,901.4,,in_attesa,
53913649-d69e-4034-b58d-54991849e0c7,2026-09-02,Fatture,0,,in_attesa,
2f001191-527c-4fa9-af22-904d9d2c561a,2026-09-02,Fatture,0,,in_attesa,
8cb629fc-dda2-4746-bea4-27f711df5114,2026-09-02,Fatture,0,,in_attesa,
cab45acf-3adf-48ee-bd01-f63b13cc46fe,2026-09-02,Fatture,0,,in_attesa,
9c8b73d7-c94d-4b11-9868-e55487c7aeea,2026-09-02,Fatture,0,,in_attesa,
a6199a33-2cf3-4dcd-b061-19fc596c5344,2026-09-02,Fatture,0,,in_attesa,
32417e21-89ce-4e5e-b6d6-9643f33827d1,2026-09-02,Fatture,0,,in_attesa,
2bf3e4fc-ce1c-47f7-9eb8-b80c961be36f,2026-09-02,Pay by link,0,,in_attesa,
0d3a3b25-3392-40fa-b76d-dc11b23fe9e5,2026-09-02,Pay by link,0,,in_attesa,
c0e29013-dc1b-4757-8cf4-2bab9d86443c,2026-09-02,Pay by link,0,,in_attesa,
c33c8d25-c2bf-4cfb-8fc3-01bebede81a5,2026-09-02,Pay by link,0,,in_attesa,
abd2de6a-d5bd-43db-951a-8018c6851743,2026-09-02,Pay by link,0,,in_attesa,
8c432122-ae59-424f-ba3f-ca816520b53d,2026-09-02,Pay by link,0,,in_attesa,
b6e6141e-bec5-418f-a432-f9110b8341d8,2026-09-02,Pay by link,0,,in_attesa,
b9dc5dee-ecf3-4bde-b14e-10d8d41d8789,2026-09-02,POS BCC,0,,in_attesa,
6ae59f74-716d-4186-a81d-49760136aae6,2026-09-02,POS BCC,0,,in_attesa,
250f460f-637f-45f5-ab66-30dc2526eefd,2026-09-02,POS BCC,0,,in_attesa,
