anno;mese;outlet;acquirer;merchant_code;payment_contract;regime;transato;commissioni;acquiring_fisso;bollo;fonte
2026;04;TRN;nexi;LN0005755045;PC0001563440;netto;38548.51;298.54;2.50;2.00;documento
2026;04;VDC;amex;7373035260;;lordo;1015.33;15.23;0.00;0.00;documento
2026;04;VDC;nexi;LN0004777495;PC0001000583;lordo;47525.51;352.65;2.50;2.00;documento
2026;04;VLM;amex;7543377782;;lordo;255.11;3.84;0.00;0.00;documento
2026;04;VLM;amex;7543394233;;lordo;1144.76;17.19;0.00;0.00;documento
2026;04;VLM;nexi;LN0005674696;PC0001488287;netto;35856.08;267.68;2.50;2.00;documento
2026;05;BRB;amex;7377153036;;lordo;678.32;10.17;0.00;0.00;documento
2026;05;BRB;nexi;LN0005458723;PC0001379716;netto;34647.20;271.17;2.50;2.00;documento
2026;05;BRG;amex;7379416167;;lordo;166.38;2.50;0.00;0.00;documento
2026;05;BRG;amex;7379605249;;lordo;348.60;5.23;0.00;0.00;documento
2026;05;BRG;nexi;LN0005533489;PC0001450042;netto;16953.90;123.35;2.50;2.00;documento
2026;05;FRC;amex;7377511100;;lordo;2270.22;34.04;0.00;0.00;documento
2026;05;FRC;nexi;LN0005489545;PC0001396411;netto;47678.09;365.92;2.50;2.00;documento
2026;05;PLM;amex;7378034250;;lordo;600.80;9.01;0.00;0.00;documento
2026;05;PLM;nexi;LN0005475974;PC0001392693;netto;32157.96;275.86;2.50;2.00;documento
2026;05;TRN;amex;9341423540;;lordo;1029.44;15.45;0.00;0.00;documento
2026;05;TRN;amex;9341489277;;lordo;65.00;0.98;0.00;0.00;documento
2026;05;TRN;nexi;LN0005755045;PC0001563440;netto;47803.75;364.92;2.50;2.00;documento
2026;05;VDC;amex;7373035260;;lordo;534.99;8.02;0.00;0.00;documento
2026;05;VDC;nexi;LN0004777495;PC0001000583;lordo;62307.71;486.57;2.50;2.00;documento
2026;05;VLM;amex;7543377782;;lordo;1028.20;15.43;0.00;0.00;documento
2026;05;VLM;amex;7543394233;;lordo;895.86;13.43;0.00;0.00;documento
2026;05;VLM;nexi;LN0005674696;PC0001488287;netto;50214.09;377.68;2.50;2.00;documento
2026;06;BRB;amex;7377153036;;lordo;977.97;14.68;0.00;0.00;documento
2026;06;BRB;nexi;LN0005458723;PC0001379716;netto;32780.93;271.40;2.50;2.00;documento
2026;06;BRG;amex;7379416167;;lordo;242.92;3.65;0.00;0.00;documento
2026;06;BRG;amex;7379605249;;lordo;296.54;4.45;0.00;0.00;documento
2026;06;BRG;nexi;LN0005533489;PC0001450042;netto;16970.69;122.34;2.50;2.00;documento
2026;06;FRC;amex;7377511100;;lordo;1587.89;23.82;0.00;0.00;documento
2026;06;FRC;nexi;LN0005489545;PC0001396411;netto;41519.07;335.47;2.50;2.00;documento
2026;06;PLM;amex;7378034250;;lordo;605.75;9.10;0.00;0.00;documento
2026;06;PLM;nexi;LN0005475974;PC0001392693;netto;37199.42;301.00;2.50;2.00;documento
2026;06;TRN;amex;9341423540;;lordo;952.30;14.29;0.00;0.00;documento
2026;06;TRN;nexi;LN0005755045;PC0001563440;netto;49509.30;388.67;2.50;2.00;documento
2026;06;VDC;amex;7373035260;;lordo;982.36;14.75;0.00;0.00;documento
2026;06;VDC;nexi;LN0004777495;PC0001000583;lordo;54045.86;405.09;2.50;2.00;documento
2026;06;VLM;amex;7543377782;;lordo;1044.01;15.67;0.00;0.00;documento
2026;06;VLM;amex;7543394233;;lordo;443.51;6.65;0.00;0.00;documento
2026;06;VLM;nexi;LN0005674696;PC0001488287;netto;33632.46;254.86;2.50;2.00;documento
2026;07;BRB;amex;7377153036;;lordo;992.09;14.89;0.00;0.00;documento
2026;07;BRB;nexi;LN0005458723;PC0001379716;netto;51436.59;391.55;2.50;2.00;documento
2026;07;BRG;amex;7379416167;;lordo;317.30;4.76;0.00;0.00;documento
2026;07;BRG;amex;7379605249;;lordo;694.70;10.42;0.00;0.00;documento
